"","product_name","fat_100g","saturatedFat_100g","carbohydrates_100g","sugars_100g","fiber_100g","proteins_100g","sodium_100g"
"29594","Croustilles sésame pavot",36.8,22.1,44.9,0.3,1.7,10.2,1.10236220472441
"29596","Croustine de poulet gout barbecue",6.7,0.9,67.3,11.6,2.8,10.9,0.826771653543307
"29605","Crousty 2 chocolats - chocolat noir et chocolat blanc",17.4,10.8,62.7,28.8,7.7,6.7,0.25
"29610","Crousty buns chocolat",25,8,65,35,2.5,5,0.15748031496063
"29637","crouton de blé à l'huile d'olive",7,1,63,1.3,2.5,16,0.590551181102362
"29647","CroutonRestaurant Style Caesar",14.29,0,71.43,0,0,14.29,1.143
"29657","Croûtons Au Fromage U,",30,2.6,56,4,3,8,0.62992125984252
"29673","Croutons Made From Texas Toast BreaSeasoned",21.43,0,57.14,14.29,0,14.29,1.214
"29678","Croûtons nature grillés au four",12.4,1.4,69,4.4,2.9,9.9,0.826771653543307
"29718","CruClassic Milk Chocolate",32.56,16.28,58.14,55.81,2.3,6.98,0.151
"29725","CrueslChocolat au lait",20,5,63,28,6,7,0.236220472440945
"29742","Cruesli Mélange de Noix",21,2.4,60,21,7.1,8.3,0.015748031496063
"29745","Crumb CakeBlueberry",10.53,5.26,57.89,31.58,1.8,5.26,0.263
"29754","Crumble aux pommes et aux fruits rouges",7.56,4.56,32.2,28.9,2.11,0.889,0.0525
"29759","Crumbled Blue Cheese",28.6728571428571,18.1142857142857,3.77428571428571,2.04,2.25714285714286,23.6742857142857,1.37342857142857
"29760","Crumbled Blue CheesSmoke",28.57,17.86,3.57,3.57,3.6,21.43,1.357
"29766","Crumbled Feta CheesPeppercorn",21.43,14.29,7.14,0,3.6,17.86,1.107
"29805","Crunch Granola BaChocolate Peanut Butter",23.81,4.76,59.52,23.81,7.1,9.52,0.298
"29820","Crunch Pie",13.24,5.88,59.56,32.35,2.9,2.94,0.426
"29824","Crunch snack",31.8,17.4,59.5,42.7,2.9,6.6,0.125984251968504
"29829","Crunchee! Cereal Bars",19.23,15.38,69.23,38.46,3.8,7.69,0.312
"29847","Crunchy Almond Butter",51.3483333333333,4.72333333333333,22.5116666666667,8.37166666666667,10.4666666666667,20.395,0.106833333333333
"29877","Crunchy Chicken Nuggets",10,0.8,25,3.5,0.5,13,0.669291338582677
"29908","Crunchy Cream",32,7.1,59.5,54.5,0,3.8,0.118110236220472
"29909","Crunchy Crinkle FrieCheddar Cheese",25,3.57,57.14,7.14,3.6,7.14,0.821
"29917","Crunchy Fish Fillets",11.805,3.01,21.7575,1.6225,0.9,9.4875,0.477
"29922","Crunchy fruits",1.1,0.35,79.2,68.7,12.5,3.3,0.00590551181102362
"29945","Crunchy Honey Oats",5,0,83.33,20,6.7,6.67,0.467
"29989","Crunchy Müsli Amaranth",13,6.2,65,23,7.1,9.6,0.0511811023622047
"30017","Crunchy Peanut Butter Pb & J SnackConcord Grape",17.62,11.01,66.08,48.46,4.4,4.41,0.352
"30021","Crunchy Peanuts",29.33,4.57,45.2525,15.165,5.9,18.5675,0.29275
"30044","Crunchy Rise Chips",21.43,0,67.86,3.57,7.1,7.14,0.429
"30050","Crunchy Snack Mix",50,7.14,25,0,7.1,21.43,0.679
"30064","Crunchy Wheat Flakes CereaRaisin Bran",2.11,0,77.46,28.17,11.3,8.45,0.352
"30074","Crushed Pear Shaped In Tomato Puree",0,0,4.1,3.28,1.6,0.82,0.016
"30112","Cruspies BBQ",31.2,6.9,40.4,6.9,4,13.8,0.89763779527559
"30133","Crusty Rolls",0,0,41.86,0,2.3,9.3,0.279
"30135","Crystal Ginger Chunks",3.75,0,90,72.5,2.5,0,0.038
"30142","Crystallized Ginger Slices",0,0,85.2975,76.25,2.35,0,0.0565
"30153","Cu Cascaval Corn Snacks",28.57,14.29,60.71,7.14,3.6,7.14,0.714
"30170","Cube Saveur Wok & Poêlées",24,10.7,21.7,9.4,5.3,4.5,15.0393700787402
"30176","Cubed Colby Jack Cheese",32.14,21.43,0,0,0,21.43,0.643
"30216","Cuillers Pâtissier saveur Fraise",5.1,2.2,69,48,1,7.7,0.181102362204724
"30223","Cuisine chocolat noir 64%",38.6,22.8,37.8,33.6,14.9,7.7,0.0078740157480315
"30224","Cuisine coco",17,15.6,3.3,1.6,0.4,1.4,0.0196850393700787
"30252","Cuisses de poulet rôti",13,3.9,0,0,0,20,0.433070866141732
"30260","Cuit sur place Baguettes Constance le lot de 4",1,0.2,58.6,1.9,0,9.1,0.637795275590551
"30264","Culatello",9,3.6,0,0,0,38,1.96850393700787
"30288","Cultured Coconut MilBlueberry",2.65,2.06,14.71,6.47,4.7,1.18,0.076
"30296","Cultured Coconut MilUnsweetened Vanilla",2.94,2.94,5.88,0.84,3.4,0,0.08
"30300","Cultured Dairy Blend Pumpkin Pie",0.88,0.59,2.35,1.76,0,5.29,0.062
"30317","Cup a Soup Soupe Tomate et Basilic",5,4,53,32,6,7,8.2
"30326","Cup Noodle SouTempura Udon",19.35,9.68,62.9,4.84,3.2,6.45,2.032
"30333","Cup NoodleRamen Noodle SouBeef",17.19,7.81,64.06,3.12,4.7,10.94,1.719
"30339","Cup NoodleRamen Noodle Soup With Shrimp Picante Style",20.31,9.38,59.38,3.12,3.1,10.94,1.656
"30360","Cupcake MiBanana Caramel",0.64,0,48.72,32.05,1.3,2.56,0.462
"30374","Cupcakes",19.51125,6.23333333333333,57.8120833333333,43.7375,0.908333333333333,2.88333333333333,0.280958333333333
"30418","Cured Salt Pork",53.57,17.86,0,0,0,7.14,2.143
"30421","Curious George Fruit Snacks",2.17,0,86.96,39.13,0,0,0.043
"30429","Curly",24,4,56,2.3,4.1,13,0.78740157480315
"30439","Currant Raisins",0,0,78.57,60.71,3.6,3.57,0.011
"30441","Currants & Almonds In Dark Chocolate",36.67,20,43.33,30,10,10,0
"30454","Curry-DelightMughlai Korma Masala Gourmet Simmer SaucMild",10.53,1.75,10.53,5.26,1.8,1.75,0.647
